City,Date,Level,Path
"London, England","2020/04/02","0.5897420178371249","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200402T132350_20200402T132850_12799_01_010302_20200402T140810.nc"
"Houston, Texas","2020/04/01","0.33657353105809307","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200401T202350_20200401T202850_12789_01_010302_20200401T210808.nc"
"Paris, France","2020/04/01","0.5154055997991236","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200401T134350_20200401T134850_12785_01_010302_20200401T142713.nc"
"London, England","2020/04/01","1.398991957103135","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200401T134350_20200401T134850_12785_01_010302_20200401T142713.nc"
"Chicago, Illinois","2020/04/02","1.1790495191235095","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200402T182850_20200402T183350_12802_01_010302_20200402T190849.nc"
"New York City, New York","2020/04/02","0.34804127062670887","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200402T182850_20200402T183350_12802_01_010302_20200402T190849.nc"
"Atlanta, Georgia","2020/04/02","0.6396897133527091","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200402T182850_20200402T183350_12802_01_010302_20200402T190849.nc"
"Paris, France","2020/03/29","0.5188251125218812","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200329T125850_20200329T130350_12742_01_010302_20200329T134500.nc"
"Berlin, Germany","2020/03/29","0.7245722954394296","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200329T125850_20200329T130350_12742_01_010302_20200329T134500.nc"
"London, England","2020/03/29","0.242886514570273","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200329T125850_20200329T130350_12742_01_010302_20200329T134500.nc"
"New York City, New York","2020/03/31","1.3478045220836066","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200331T172350_20200331T172850_12773_01_010302_20200331T180735.nc"
"Atlanta, Georgia","2020/04/01","0.2768132617347874","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200401T184350_20200401T184850_12788_01_010302_20200401T192120.nc"
"Houston, Texas","2020/04/01","0.40915522367868107","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200401T184350_20200401T184850_12788_01_010302_20200401T192120.nc"
"New York City, New York","2020/04/01","0.7710002428211737","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200401T170850_20200401T171350_12787_01_010302_20200401T174847.nc"
"Chicago, Illinois","2020/03/31","0.18474880107532954","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200331T190850_20200331T191350_12774_01_010302_20200331T210641.nc"
"Los Angelos, California","2020/03/29","0.3340194225529558","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200329T212350_20200329T212850_12747_01_010302_20200329T220339.nc"
"Houston, Texas","2020/03/29","0.9294537412642967","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200329T193850_20200329T194350_12746_01_010302_20200329T201914.nc"
"Los Angelos, California","2020/04/02","0.6091585682952427","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200402T200850_20200402T201350_12803_01_010302_20200402T204800.nc"
"Houston, Texas","2020/04/02","2.197998263000045","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200402T200850_20200402T201350_12803_01_010302_20200402T204800.nc"
"Chicago, Illinois","2020/03/30","0.3178467977704713","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200330T174350_20200330T174850_12759_01_010302_20200330T182551.nc"
"New York City, New York","2020/03/30","1.218094264913816","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200330T174350_20200330T174850_12759_01_010302_20200330T182551.nc"
"Atlanta, Georgia","2020/03/30","1.0331721696275054","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200330T174350_20200330T174850_12759_01_010302_20200330T182551.nc"
"Paris, France","2020/04/01","0.48068323303596117","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200401T120350_20200401T120850_12784_01_010302_20200401T125104.nc"
"Berlin, Germany","2020/04/01","0.498057817821973","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200401T120350_20200401T120850_12784_01_010302_20200401T125104.nc"
"London, England","2020/04/01","1.7036843346431851","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200401T120350_20200401T120850_12784_01_010302_20200401T125104.nc"
"Los Angelos, California","2020/03/30","0.854955213071662","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200330T210350_20200330T210850_12761_01_010302_20200330T214520.nc"
